run,blast_duration,blast_count,row,column,id,Colour,Weight,weights,proportion,blast.id
1,0.1,0,1,1,1,yellow,60,1,1,1
1,0.1,0,1,2,1,yellow,60,1,1,1
1,0.1,0,1,3,1,yellow,60,1,1,1
1,0.1,0,2,1,1,yellow,0,1,1,1
1,0.1,0,2,2,1,yellow,0,1,1,1
1,0.1,0,2,3,1,yellow,0,1,1,1
1,0.1,0,3,1,1,yellow,0,1,1,1
1,0.1,0,3,2,1,yellow,0,1,1,1
1,0.1,0,3,3,1,yellow,0,1,1,1
1,0.1,0,1,1,1,blue,0,1,1,1
1,0.1,0,1,2,1,blue,0,1,1,1
1,0.1,0,1,3,1,blue,0,1,1,1
1,0.1,0,2,1,1,blue,60,1,1,1
1,0.1,0,2,2,1,blue,60,1,1,1
1,0.1,0,2,3,1,blue,60,1,1,1
1,0.1,0,3,1,1,blue,0,1,1,1
1,0.1,0,3,2,1,blue,0,1,1,1
1,0.1,0,3,3,1,blue,0,1,1,1
1,0.1,0,1,1,1,red,0,1,1,1
1,0.1,0,1,2,1,red,0,1,1,1
1,0.1,0,1,3,1,red,0,1,1,1
1,0.1,0,2,1,1,red,0,1,1,1
1,0.1,0,2,2,1,red,0,1,1,1
1,0.1,0,2,3,1,red,0,1,1,1
1,0.1,0,3,1,1,red,60,1,1,1
1,0.1,0,3,2,1,red,60,1,1,1
1,0.1,0,3,3,1,red,60,1,1,1
2,0.1,0,1,1,1,yellow,60,1,1,1
2,0.1,0,1,2,1,yellow,60,1,1,1
2,0.1,0,1,3,1,yellow,60,1,1,1
2,0.1,0,2,1,1,yellow,0,1,1,1
2,0.1,0,2,2,1,yellow,0,1,1,1
2,0.1,0,2,3,1,yellow,0,1,1,1
2,0.1,0,3,1,1,yellow,0,1,1,1
2,0.1,0,3,2,1,yellow,0,1,1,1
2,0.1,0,3,3,1,yellow,0,1,1,1
2,0.1,0,1,1,1,blue,0,1,1,1
2,0.1,0,1,2,1,blue,0,1,1,1
2,0.1,0,1,3,1,blue,0,1,1,1
2,0.1,0,2,1,1,blue,60,1,1,1
2,0.1,0,2,2,1,blue,60,1,1,1
2,0.1,0,2,3,1,blue,60,1,1,1
2,0.1,0,3,1,1,blue,0,1,1,1
2,0.1,0,3,2,1,blue,0,1,1,1
2,0.1,0,3,3,1,blue,0,1,1,1
2,0.1,0,1,1,1,red,0,1,1,1
2,0.1,0,1,2,1,red,0,1,1,1
2,0.1,0,1,3,1,red,0,1,1,1
2,0.1,0,2,1,1,red,0,1,1,1
2,0.1,0,2,2,1,red,0,1,1,1
2,0.1,0,2,3,1,red,0,1,1,1
2,0.1,0,3,1,1,red,60,1,1,1
2,0.1,0,3,2,1,red,60,1,1,1
2,0.1,0,3,3,1,red,60,1,1,1
1,1,0,1,1,1,yellow,60,1,1,1
1,1,0,1,2,1,yellow,60,1,1,1
1,1,0,1,3,1,yellow,60,1,1,1
1,1,0,2,1,1,yellow,0,1,1,1
1,1,0,2,2,1,yellow,0,1,1,1
1,1,0,2,3,1,yellow,0,1,1,1
1,1,0,3,1,1,yellow,0,1,1,1
1,1,0,3,2,1,yellow,0,1,1,1
1,1,0,3,3,1,yellow,0,1,1,1
1,1,0,1,1,1,blue,0,1,1,1
1,1,0,1,2,1,blue,0,1,1,1
1,1,0,1,3,1,blue,0,1,1,1
1,1,0,2,1,1,blue,60,1,1,1
1,1,0,2,2,1,blue,60,1,1,1
1,1,0,2,3,1,blue,60,1,1,1
1,1,0,3,1,1,blue,0,1,1,1
1,1,0,3,2,1,blue,0,1,1,1
1,1,0,3,3,1,blue,0,1,1,1
1,1,0,1,1,1,red,0,1,1,1
1,1,0,1,2,1,red,0,1,1,1
1,1,0,1,3,1,red,0,1,1,1
1,1,0,2,1,1,red,0,1,1,1
1,1,0,2,2,1,red,0,1,1,1
1,1,0,2,3,1,red,0,1,1,1
1,1,0,3,1,1,red,60,1,1,1
1,1,0,3,2,1,red,60,1,1,1
1,1,0,3,3,1,red,60,1,1,1
2,1,0,1,1,1,yellow,60,1,1,1
2,1,0,1,2,1,yellow,60,1,1,1
2,1,0,1,3,1,yellow,60,1,1,1
2,1,0,2,1,1,yellow,0,1,1,1
2,1,0,2,2,1,yellow,0,1,1,1
2,1,0,2,3,1,yellow,0,1,1,1
2,1,0,3,1,1,yellow,0,1,1,1
