"","X","run","blast_duration","blast_count","row","column","id","Colour","Weight","weights","proportion"
"1",1,1,0.1,1,1,1,0.111,"yellow",84.22,202.01,0.416910053957725
"2",1,1,0.1,1,1,1,0.111,"blue",0,201.61,0
"3",1,1,0.1,1,1,1,0.111,"red",0,210.64,0
"4",2,1,0.1,1,1,2,0.111,"yellow",38.63,202.01,0.19122815702193
"5",2,1,0.1,1,1,2,0.111,"blue",6.19,201.61,0.0307028421209265
"6",2,1,0.1,1,1,2,0.111,"red",0.21,210.64,0.000996961640714014
"7",3,1,0.1,1,1,3,0.111,"yellow",58.31,202.01,0.288649076778377
"8",3,1,0.1,1,1,3,0.111,"blue",0,201.61,0
"9",3,1,0.1,1,1,3,0.111,"red",0,210.64,0
"10",4,1,0.1,1,2,1,0.111,"yellow",10.42,202.01,0.051581604871046
"11",4,1,0.1,1,2,1,0.111,"blue",39.31,201.61,0.194980407717871
"12",4,1,0.1,1,2,1,0.111,"red",0,210.64,0
"13",5,1,0.1,1,2,2,0.111,"yellow",7.05,202.01,0.0348992624127518
"14",5,1,0.1,1,2,2,0.111,"blue",73.81,201.61,0.366102871881355
"15",5,1,0.1,1,2,2,0.111,"red",0.83,210.64,0.00394037219901253
"16",6,1,0.1,1,2,3,0.111,"yellow",2.26,202.01,0.0111875649720311
"17",6,1,0.1,1,2,3,0.111,"blue",74.24,201.61,0.368235702594117
"18",6,1,0.1,1,2,3,0.111,"red",0.1,210.64,0.000474743638435245
"19",7,1,0.1,1,3,1,0.111,"yellow",0.63,202.01,0.00311865749220336
"20",7,1,0.1,1,3,1,0.111,"blue",0.8,201.61,0.00396805714002282
"21",7,1,0.1,1,3,1,0.111,"red",39.81,210.64,0.188995442461071
"22",8,1,0.1,1,3,2,0.111,"yellow",0.49,202.01,0.00242562249393594
"23",8,1,0.1,1,3,2,0.111,"blue",5.26,201.61,0.02608997569565
"24",8,1,0.1,1,3,2,0.111,"red",79.66,210.64,0.378180782377516
"25",9,1,0.1,1,3,3,0.111,"yellow",0,202.01,0
"26",9,1,0.1,1,3,3,0.111,"blue",2,201.61,0.00992014285005704
"27",9,1,0.1,1,3,3,0.111,"red",90.03,210.64,0.427411697683251
"28",10,2,0.1,1,1,1,0.112,"yellow",85.13,201.67,0.422125254128031
"29",10,2,0.1,1,1,1,0.112,"blue",0.78,184.04,0.00423820908498153
"30",10,2,0.1,1,1,1,0.112,"red",0,210.57,0
"31",11,2,0.1,1,1,2,0.112,"yellow",51.09,201.67,0.253334655625527
"32",11,2,0.1,1,1,2,0.112,"blue",14.18,184.04,0.0770484677244078
"33",11,2,0.1,1,1,2,0.112,"red",0.31,210.57,0.00147219451963718
"34",12,2,0.1,1,1,3,0.112,"yellow",61.91,201.67,0.306986661377498
"35",12,2,0.1,1,1,3,0.112,"blue",0.03,184.04,0.000163008041730059
"36",12,2,0.1,1,1,3,0.112,"red",0,210.57,0
"37",13,2,0.1,1,2,1,0.112,"yellow",0.12,201.67,0.000595031487082858
"38",13,2,0.1,1,2,1,0.112,"blue",82.28,184.04,0.447076722451641
"39",13,2,0.1,1,2,1,0.112,"red",0.1,210.57,0.000474901457947476
"40",14,2,0.1,1,2,2,0.112,"yellow",0.03,201.67,0.000148757871770715
"41",14,2,0.1,1,2,2,0.112,"blue",55.05,184.04,0.299119756574658
"42",14,2,0.1,1,2,2,0.112,"red",12.54,210.57,0.0595526428266135
"43",15,2,0.1,1,2,3,0.112,"yellow",3.27,201.67,0.0162146080230079
"44",15,2,0.1,1,2,3,0.112,"blue",30.48,184.04,0.16561617039774
"45",15,2,0.1,1,2,3,0.112,"red",4.83,210.57,0.0229377404188631
"46",16,2,0.1,1,3,1,0.112,"yellow",0,201.67,0
"47",16,2,0.1,1,3,1,0.112,"blue",0,184.04,0
"48",16,2,0.1,1,3,1,0.112,"red",62.34,210.57,0.296053568884456
"49",17,2,0.1,1,3,2,0.112,"yellow",0,201.67,0
"50",17,2,0.1,1,3,2,0.112,"blue",0.2,184.04,0.00108672027820039
"51",17,2,0.1,1,3,2,0.112,"red",80.09,210.57,0.380348577670133
"52",18,2,0.1,1,3,3,0.112,"yellow",0.12,201.67,0.000595031487082858
"53",18,2,0.1,1,3,3,0.112,"blue",1.04,184.04,0.00565094544664204
